AvgSpeed,CodeSum,Cool,Date,Depart,DewPoint,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,Station,StnPressure,Sunrise,Sunset,Tavg,Tmax,Tmin,WetBulb
5.9,BR HZ,5,2007-05-09,14,60,0,0.02,7,3.9,29.93,2,29.28,438,1858,70,76,63,63
4.1,BR,5,2007-05-10,14,52,0,0.0,17,0.7,29.92,1,29.2,437,1859,70,84,56,60
3.9,BR HZ,6,2007-05-10,15,52,0,0.0,9,2.0,29.91,2,29.26,437,1859,71,83,59,61
12.9, ,0,2007-05-11,4,42,4,0.0,3,11.3,30.04,1,29.33,436,1860,61,70,51,51
12.8, ,0,2007-05-11,4,44,4,0.0,36,11.7,30.03,2,29.39,436,1860,61,73,49,51
12.9, ,0,2007-05-12,-2,36,10,0.0,3,12.4,30.2,1,29.49,435,1901,55,64,46,46
13.0, ,0,2007-05-12,-1,37,9,0.0,1,12.7,30.19,2,29.54,435,1901,56,65,47,46
8.1, ,0,2007-05-13,-2,33,9,0.0,14,6.6,30.24,1,29.49,434,1902,56,69,43,46
7.6, ,0,2007-05-13,-1,32,8,0.0,11,6.4,30.24,2,29.55,434,1902,57,69,44,46
17.3, ,8,2007-05-14,15,47,0,0.0,21,16.9,29.97,1,29.23,433,1903,73,90,56,59
14.6, ,7,2007-05-14,14,45,0,0.0,21,14.1,29.98,2,29.31,433,1903,72,90,54,58
12.3,RA BR,4,2007-05-15,11,56,0,0.38,27,8.1,29.84,1,29.13,432,1904,69,80,57,61
10.8,RA BR,4,2007-05-15,11,56,0,0.6,25,8.1,29.83,2,29.19,432,1904,69,82,56,61
12.2,RA BR,0,2007-05-16,-4,43,10,0.14,36,7.8,30.03,1,29.33,431,1905,55,66,44,48
11.8,RA BR,0,2007-05-16,-4,42,10,0.07,36,8.0,30.03,2,29.39,431,1905,55,64,45,47
11.3, ,0,2007-05-17,-6,32,12,0.0,3,10.5,30.27,1,29.55,430,1906,53,62,43,43
12.2, ,0,2007-05-17,-6,32,12,0.0,1,11.7,30.27,2,29.62,430,1906,53,61,44,43
7.5, ,0,2007-05-18,-3,30,8,0.0,25,5.4,30.25,1,29.53,429,1907,57,71,42,46
5.5, ,0,2007-05-18,-3,31,8,0.0,22,3.4,30.26,2,29.6,429,1907,57,70,43,47
11.4, ,3,2007-05-19,8,39,0,0.0,24,11.1,30.08,1,29.34,428,1908,68,80,56,53
11.4, ,3,2007-05-19,8,37,0,0.0,23,11.1,30.08,2,29.41,428,1908,68,80,56,53
10.7,RA,0,2007-05-20,-5,40,9,0.07,4,10.4,30.11,1,29.38,427,1909,56,69,43,44
9.7,RA,0,2007-05-20,-4,41,8,0.11,3,8.6,30.11,2,29.44,427,1909,57,69,44,45
8.2, ,0,2007-05-21,1,50,3,0.0,11,6.3,30.06,1,29.33,426,1910,62,80,44,56
7.8, ,0,2007-05-21,2,50,2,0.0,10,6.3,30.05,2,29.39,426,1910,63,79,46,57
10.2, ,6,2007-05-22,10,46,0,0.0,18,10.0,30.06,1,29.34,425,1911,71,87,55,58
10.6, ,9,2007-05-22,13,44,0,0.0,16,10.1,30.05,2,29.41,425,1911,74,87,60,58
11.8, ,10,2007-05-23,14,49,0,0.0,19,11.4,30.1,1,29.39,425,1912,75,89,60,61
11.2, ,13,2007-05-23,17,48,0,0.0,18,10.9,30.1,2,29.47,425,1912,78,89,66,61
17.3,RA HZ,11,2007-05-24,14,54,0,0.02,21,14.9,30.11,1,29.41,424,1913,76,88,63,63
15.2,RA HZ,12,2007-05-24,15,53,0,0.01,20,13.8,30.1,2,29.47,424,1913,77,88,66,63
8.8, ,0,2007-05-25,1,44,2,0.01,5,4.9,30.24,1,29.51,423,1914,63,70,56,53
8.2,RA BR,0,2007-05-25,0,46,3,0.09,5,4.5,30.23,2,29.57,423,1914,62,66,57,53
7.2,RA BR HZ,0,2007-05-26,-5,55,8,1.01,17,2.8,30.11,1,29.36,422,1915,57,65,49,56
7.8,RA BR,0,2007-05-26,-2,55,5,0.28,15,2.5,30.1,2,29.42,422,1915,60,70,50,57
9.5,RA BR,1,2007-05-27,4,47,0,0.04,26,8.9,30.06,1,29.34,422,1916,66,75,57,56
9.2,RA BR,2,2007-05-27,5,49,0,0.08,24,8.2,30.05,2,29.41,422,1916,67,75,59,57
5.3,RA,0,2007-05-28,2,47,0,0.01,10,4.8,30.15,1,29.43,421,1916,65,79,50,56
5.2, ,0,2007-05-28,2,49,0,0.0,8,4.7,30.14,2,29.49,421,1916,65,76,54,57
6.5,BR HZ,9,2007-05-29,10,58,0,0.0,18,5.8,30.11,1,29.39,421,1917,74,88,60,65
7.4,BR HZ,12,2007-05-29,13,59,0,0.0,16,5.8,30.09,2,29.44,421,1917,77,88,65,66
10.6,HZ,12,2007-05-30,13,58,0,0.0,19,10.3,30.04,1,29.31,420,1918,77,87,66,65
10.1,HZ,15,2007-05-30,16,57,0,0.0,17,9.7,30.03,2,29.38,420,1918,80,89,70,66
9.9,RA HZ,7,2007-05-31,8,61,0,0.01,19,9.3,30.0,1,29.28,420,1919,72,78,65,65
9.2,RA BR,9,2007-05-31,10,61,0,0.53,18,8.9,29.99,2,29.34,420,1919,74,80,68,66
6.4,BR HZ,9,2007-06-01,10,63,0,0.19,17,4.2,29.91,1,29.19,419,1920,74,85,62,66
5.8,BR HZ,12,2007-06-01,13,63,0,0.21,16,4.7,29.9,2,29.25,419,1920,77,86,67,67
7.4,RA BR,8,2007-06-02,9,63,0,0.04,22,6.5,29.77,1,29.03,419,1920,73,81,65,67
8.2,RA BR,10,2007-06-02,11,62,0,0.01,21,7.5,29.76,2,29.1,419,1920,75,81,68,67
6.7,RA BR HZ,5,2007-06-03,6,60,0,0.01,25,5.2,29.56,1,28.82,418,1921,70,78,62,63
7.2,RA BR HZ,6,2007-06-03,7,60,0,0.32,24,4.9,29.54,2,28.87,418,1921,71,77,64,64
9.7,RA BR,0,2007-06-04,1,58,0,0.39,31,7.8,29.52,1,28.82,418,1922,65,71,58,60
10.1,RA BR,0,2007-06-04,0,57,1,0.31,30,7.9,29.51,2,28.88,418,1922,64,72,56,60
7.6,RA BR,0,2007-06-05,-9,48,9,0.42,5,5.2,29.79,1,29.1,417,1923,56,64,47,51
8.1,RA BR,0,2007-06-05,-8,47,8,0.27,3,6.2,29.78,2,29.16,417,1923,57,63,51,52
11.4,RA,0,2007-06-06,-8,48,7,0.01,17,10.8,29.81,1,29.07,417,1923,58,71,44,55
10.6,RA,0,2007-06-06,-5,47,4,0.01,15,9.6,29.82,2,29.13,417,1923,61,73,48,55
23.1, ,16,2007-06-07,15,62,0,0.0,20,22.7,29.55,1,28.84,417,1924,81,91,71,69
20.7, ,17,2007-06-07,16,61,0,0.0,19,20.3,29.55,2,28.91,417,1924,82,92,71,68
13.8, ,4,2007-06-08,3,53,0,0.0,28,10.9,29.85,1,29.18,417,1925,69,81,57,61
12.4, ,7,2007-06-08,6,54,0,0.0,26,9.3,29.83,2,29.24,417,1925,72,81,63,62
5.0, ,1,2007-06-09,0,47,0,0.0,33,0.3,30.07,1,29.36,416,1925,66,79,52,57
4.7, ,3,2007-06-09,2,49,0,0.0,19,2.4,30.05,2,29.42,416,1925,68,79,57,58
5.6, ,3,2007-06-10,1,51,0,0.0,17,4.8,30.05,1,29.34,416,1926,68,81,55,59
5.8, ,6,2007-06-10,4,50,0,0.0,16,4.6,30.04,2,29.39,416,1926,71,81,61,60
6.9, ,7,2007-06-11,5,52,0,0.0,11,4.9,30.11,1,29.41,416,1926,72,86,58,61
8.4, ,10,2007-06-11,8,51,0,0.0,9,6.6,30.09,2,29.47,416,1926,75,85,65,61
8.8, ,8,2007-06-12,5,50,0,0.0,5,8.3,30.16,1,29.44,416,1927,73,83,62,60
10.0, ,9,2007-06-12,6,51,0,0.0,5,9.4,30.14,2,29.49,416,1927,74,82,66,61
8.6, ,9,2007-06-13,6,53,0,0.0,5,7.2,30.09,1,29.36,416,1927,74,87,60,62
8.3, ,12,2007-06-13,9,53,0,0.0,5,7.0,29.97,2,29.29,416,1927,77,86,68,62
6.8, ,12,2007-06-14,9,55,0,0.0,5,5.6,30.02,1,29.3,416,1928,77,89,64,64
6.4, ,14,2007-06-14,11,54,0,0.0,7,5.9,30.0,2,29.36,416,1928,79,89,68,63
4.9, ,12,2007-06-15,9,56,0,0.0,6,4.1,29.99,1,29.28,416,1928,77,91,63,64
4.1, ,13,2007-06-15,10,56,0,0.0,9,3.8,29.97,2,29.34,416,1928,78,89,67,65
5.8,RA HZ,15,2007-06-16,11,60,0,0.01,28,4.8,29.97,1,29.26,416,1929,80,93,66,67
6.1,HZ,15,2007-06-16,11,61,0,0.01,22,2.1,29.96,2,29.33,416,1929,80,92,68,68
6.3,HZ,16,2007-06-17,12,64,0,0.0,11,2.8,29.95,1,29.23,416,1929,81,91,70,70
6.1,HZ,16,2007-06-17,12,65,0,0.16,11,4.0,29.93,2,29.28,416,1929,81,91,71,70
15.1,RA HZ,14,2007-06-18,9,65,0,0.28,20,14.0,29.84,1,29.12,416,1929,79,89,69,70
12.6,RA HZ,16,2007-06-18,11,65,0,0.02,20,12.2,29.83,2,29.19,416,1929,81,89,73,70
11.4,RA,8,2007-06-19,3,55,0,0.58,28,10.7,29.95,1,29.26,416,1930,73,80,65,63
11.3,RA BR,8,2007-06-19,3,55,0,0.93,29,10.1,29.93,2,29.31,416,1930,73,81,65,63
8.8, ,8,2007-06-20,3,52,0,0.0,27,7.8,30.1,1,29.39,416,1930,73,84,61,61
7.7, ,9,2007-06-20,4,50,0,0.0,28,5.9,30.09,2,29.46,416,1930,74,85,62,61
10.7,RA,4,2007-06-21,-1,51,0,0.01,3,3.5,30.08,1,29.36,416,1930,69,77,61,60
9.6,RA,8,2007-06-21,3,51,0,0.01,2,3.7,30.06,2,29.41,416,1930,73,80,66,61
8.7,RA,4,2007-06-22,-1,50,0,0.01,6,7.8,30.06,1,29.33,417,1931,69,76,61,58
8.1,RA,4,2007-06-22,-1,49,0,0.01,7,6.5,30.05,2,29.39,417,1931,69,75,62,58
9.0,RA BR,0,2007-06-23,-5,58,0,0.05,12,7.6,29.96,1,29.23,417,1931,65,67,62,61
8.1,RA BR,0,2007-06-23,-5,60,0,0.34,11,7.3,29.95,2,29.28,417,1931,65,68,61,62
8.0,BR HZ,5,2007-06-24,-1,62,0,0.0,9,7.0,29.97,1,29.26,417,1931,70,77,63,65
6.0,BR HZ,5,2007-06-24,-1,62,0,0.0,10,5.6,29.96,2,29.33,417,1931,70,75,65,65
6.8,BR HZ,12,2007-06-25,6,66,0,0.0,14,3.9,30.07,1,29.38,417,1931,77,89,65,70
5.9,BR HZ,12,2007-06-25,6,67,0,0.0,12,4.0,30.06,2,29.44,417,1931,77,86,67,70
7.1,BR HZ,16,2007-06-26,10,69,0,0.16,22,6.1,30.11,1,29.39,418,1931,81,92,70,72
8.1,BR HZ,17,2007-06-26,11,69,0,0.01,21,7.3,30.09,2,29.45,418,1931,82,91,73,72
8.8, ,16,2007-06-27,10,70,0,0.15,24,7.5,30.02,1,29.29,418,1931,81,91,71,72
8.5,RA BR,15,2007-06-27,9,69,0,0.35,24,7.9,30.0,2,29.36,418,1931,80,89,71,72
12.5, ,1,2007-06-28,-5,55,0,0.0,3,11.9,30.09,1,29.41,419,1931,66,74,58,60
13.3, ,2,2007-06-28,-4,56,0,0.09,2,12.2,30.07,2,29.43,419,1931,67,73,61,61
8.3, ,0,2007-06-29,-8,55,2,0.0,2,7.6,30.13,1,29.41,419,1931,63,70,56,59
8.2, ,0,2007-06-29,-7,56,1,0.03,2,7.4,30.11,2,29.47,419,1931,64,71,56,60
5.8, ,2,2007-06-30,-5,46,0,0.0,3,4.9,30.13,1,29.41,419,1931,67,79,54,56
6.2, ,3,2007-06-30,-4,49,0,0.0,4,5.1,30.11,2,29.46,419,1931,68,77,58,58
8.6, ,0,2007-07-01,-7,52,0,0.0,4,8.6,30.23,1,29.51,420,1931,65,75,54,58
9.7, ,4,2007-07-01,-3,51,0,0.0,4,9.5,30.21,2,29.56,420,1931,69,76,61,59
8.1, ,1,2007-07-02,-6,50,0,0.0,14,5.9,30.22,1,29.49,420,1931,66,79,53,58
8.5, ,3,2007-07-02,-4,50,0,0.0,12,7.4,30.21,2,29.55,420,1931,68,77,58,59
7.3,RA BR,7,2007-07-03,0,57,0,0.4,21,6.7,30.06,1,29.31,421,1931,72,83,60,63
7.4,RA,8,2007-07-03,1,56,0,0.09,21,6.4,30.05,2,29.38,421,1931,73,83,63,63
8.2,BR HZ FU,12,2007-07-04,5,65,0,0.16,27,4.6,29.9,1,29.18,422,1930,77,86,67,69
8.8,RA HZ FU,11,2007-07-04,4,65,0,0.66,25,3.1,29.88,2,29.23,422,1930,76,84,67,69
8.1,BR HZ FU,15,2007-07-05,8,60,0,0.0,31,6.4,29.94,1,29.24,422,1930,80,89,71,67
6.9,BR,14,2007-07-05,7,60,0,0.0,33,4.3,29.92,2,29.29,422,1930,79,88,70,67
5.5, ,11,2007-07-06,4,57,0,0.0,5,3.2,30.03,1,29.32,423,1930,76,86,66,64
5.5, ,11,2007-07-06,4,57,0,0.0,7,3.3,30.01,2,29.38,423,1930,76,84,68,65
8.6, ,12,2007-07-07,5,63,0,0.0,22,8.4,29.91,1,29.18,423,1930,77,90,64,69
8.1, ,13,2007-07-07,6,62,0,0.0,23,7.4,29.9,2,29.24,423,1930,78,88,68,68
13.1, ,20,2007-07-08,12,67,0,0.0,24,12.9,29.77,1,29.05,424,1929,85,94,75,72
12.7, ,19,2007-07-08,11,67,0,0.0,23,12.6,29.76,2,29.12,424,1929,84,93,75,72
8.8,RA,17,2007-07-09,9,66,0,0.3,24,4.9,29.8,1,29.11,425,1929,82,94,70,70
8.8,RA,18,2007-07-09,10,67,0,0.24,23,4.8,29.79,2,29.16,425,1929,83,93,72,71
10.5,HZ,14,2007-07-10,6,67,0,0.43,23,8.6,29.77,1,29.06,425,1929,79,89,69,70
10.2,HZ,15,2007-07-10,7,67,0,0.08,23,8.2,29.76,2,29.13,425,1929,80,89,70,71
10.9, ,5,2007-07-11,-3,51,0,0.0,30,8.8,29.93,1,29.23,426,1928,70,77,62,59
11.2, ,5,2007-07-11,-3,51,0,0.0,30,9.1,29.92,2,29.28,426,1928,70,77,63,59
11.1, ,6,2007-07-12,-2,51,0,0.0,29,9.4,29.93,1,29.22,427,1928,71,80,61,59
11.4, ,5,2007-07-12,-3,51,0,0.0,28,10.0,29.92,2,29.28,427,1928,70,80,60,60
5.3, ,3,2007-07-13,-5,52,0,0.0,1,1.4,29.98,1,29.26,428,1927,68,78,58,58
5.8, ,2,2007-07-13,-6,53,0,0.0,7,2.0,29.98,2,29.33,428,1927,67,74,59,59
13.2, ,8,2007-07-14,0,55,0,0.0,26,8.3,29.79,1,29.08,428,1927,73,84,61,62
13.9, ,9,2007-07-14,1,55,0,0.0,25,8.4,29.79,2,29.14,428,1927,74,85,62,62
4.9, ,6,2007-07-15,-3,53,0,0.0,29,2.1,29.89,1,29.19,429,1926,71,82,60,61
6.5, ,7,2007-07-15,-2,52,0,0.0,9,1.2,29.88,2,29.25,429,1926,72,80,64,61
5.2,RA BR,9,2007-07-16,0,60,0,0.39,24,4.4,29.96,1,29.25,430,1925,74,82,65,65
6.6,RA,9,2007-07-16,0,60,0,0.07,23,5.6,29.94,2,29.31,430,1925,74,82,66,65
6.5,RA BR,11,2007-07-17,2,66,0,0.11,23,5.2,29.9,1,29.18,431,1925,76,83,68,69
7.4,RA BR,11,2007-07-17,2,65,0,0.11,23,6.3,29.89,2,29.24,431,1925,76,83,69,69
10.1,RA BR,12,2007-07-18,3,68,0,1.55,24,9.1,29.84,1,29.11,432,1924,77,85,69,71
10.6,TS RA BR HZ,12,2007-07-18,3,69,0,0.92,24,10.3,29.83,2,29.18,432,1924,77,85,69,71
11.9,DZ BR,8,2007-07-19,-1,63,0,0.16,1,7.0,29.9,1,29.21,433,1923,73,83,63,66
14.4,BR HZ,8,2007-07-19,-1,62,0,0.01,36,7.7,29.88,2,29.26,433,1923,73,82,63,66
9.1, ,2,2007-07-20,-7,53,0,0.0,3,8.6,30.14,1,29.44,433,1923,67,75,58,59
11.5, ,3,2007-07-20,-6,52,0,0.0,4,11.3,30.12,2,29.49,433,1923,68,74,62,59
7.4, ,1,2007-07-21,-8,52,0,0.0,3,6.5,30.22,1,29.51,434,1922,66,74,58,58
7.4, ,2,2007-07-21,-7,52,0,0.0,4,5.8,30.21,2,29.57,434,1922,67,75,58,59
3.3, ,5,2007-07-22,-4,55,0,0.0,16,1.7,30.21,1,29.49,435,1921,70,81,58,61
3.5, ,6,2007-07-22,-3,54,0,0.0,18,1.9,30.2,2,29.54,435,1921,71,81,61,61
4.0, ,7,2007-07-23,-2,55,0,0.0,9,3.2,30.1,1,29.37,436,1920,72,83,60,63
3.9, ,8,2007-07-23,-1,55,0,0.0,12,2.9,30.09,2,29.42,436,1920,73,82,63,63
5.2, ,9,2007-07-24,0,58,0,0.0,20,3.1,30.04,1,29.32,437,1919,74,82,65,64
4.9, ,9,2007-07-24,0,57,0,0.01,21,1.1,30.03,2,29.38,437,1919,74,82,65,64
6.6, ,13,2007-07-25,4,61,0,0.01,25,5.8,30.0,1,29.29,438,1918,78,85,71,67
7.0, ,12,2007-07-25,3,60,0,0.0,23,6.4,29.99,2,29.35,438,1918,77,83,70,66
9.4,TS RA BR HZ,10,2007-07-26,1,65,0,0.19,22,7.2,29.92,1,29.19,439,1918,75,83,66,68
9.9,TS BR HZ,9,2007-07-26,0,65,0,0.89,22,7.2,29.91,2,29.25,439,1918,74,84,64,68
7.9,RA BR HZ,12,2007-07-27,3,68,0,0.17,3,3.0,29.82,1,29.11,440,1917,77,83,70,70
8.1,RA BR HZ,12,2007-07-27,3,67,0,0.04,36,1.2,29.8,2,29.16,440,1917,77,83,70,70
10.2,BR HZ,8,2007-07-28,-1,65,0,0.0,3,10.0,29.93,1,29.23,441,1916,73,80,66,68
10.7,BR HZ,10,2007-07-28,1,65,0,0.0,3,10.6,29.91,2,29.28,441,1916,75,80,70,68
5.7, ,9,2007-07-29,0,57,0,0.0,5,4.8,29.99,1,29.28,442,1915,74,85,63,64
6.9, ,11,2007-07-29,2,56,0,0.0,5,6.3,29.97,2,29.34,442,1915,76,85,67,64
4.3, ,11,2007-07-30,2,55,0,0.0,6,3.8,30.03,1,29.33,443,1914,76,89,62,64
4.6, ,11,2007-07-30,2,57,0,0.0,6,3.1,30.01,2,29.39,443,1914,76,86,65,65
4.9, ,15,2007-07-31,6,61,0,0.0,4,3.3,30.04,1,29.33,444,1913,80,91,68,68
5.0, ,14,2007-07-31,5,60,0,0.0,7,4.0,30.02,2,29.39,444,1913,79,89,69,68
4.1,HZ,16,2007-08-01,8,62,0,0.0,9,3.5,30.0,1,29.29,445,1911,81,92,69,69
3.7, ,15,2007-08-01,7,63,0,0.0,13,2.1,29.98,2,29.34,445,1911,80,91,69,70
5.9,HZ,16,2007-08-02,8,66,0,0.0,26,5.5,29.97,1,29.26,446,1910,81,91,70,71
7.2, ,17,2007-08-02,9,66,0,0.0,23,6.5,29.95,2,29.31,446,1910,82,91,73,72
5.7, ,15,2007-08-03,7,56,0,0.0,3,2.7,30.02,1,29.31,447,1909,80,90,69,66
5.8, ,16,2007-08-03,8,58,0,0.0,6,3.3,30.0,2,29.36,447,1909,81,88,73,67
6.1,RA,8,2007-08-04,0,58,0,0.03,8,5.7,30.03,1,29.31,448,1908,73,81,64,64
6.6,RA,10,2007-08-04,2,58,0,0.02,9,5.9,30.01,2,29.36,448,1908,75,81,68,65
9.6,RA BR HZ,13,2007-08-05,5,71,0,1.43,21,5.4,29.81,1,29.08,449,1907,78,88,67,73
10.2,RA BR,13,2007-08-05,5,71,0,0.97,22,7.0,29.79,2,29.15,449,1907,78,88,68,72
4.9,RA BR HZ,16,2007-08-06,8,72,0,0.26,10,1.6,29.83,1,29.13,450,1906,81,88,74,74
4.6,TS BR HZ,15,2007-08-06,7,72,0,0.05,10,2.6,29.81,2,29.17,450,1906,80,85,75,74
9.0,RA BR,17,2007-08-07,9,73,0,1.31,25,6.2,29.76,1,29.06,451,1904,82,91,72,76
8.8, ,18,2007-08-07,10,73,0,0.06,24,6.3,29.74,2,29.11,451,1904,83,92,73,76
6.9,RA BR,15,2007-08-08,7,71,0,0.06,3,3.0,29.83,1,29.13,452,1903,80,87,73,73
6.4,RA DZ BR HZ,16,2007-08-08,8,72,0,0.09,4,1.5,29.81,2,29.18,452,1903,81,87,74,74
6.0,RA,13,2007-08-09,5,71,0,0.05,29,2.5,29.84,1,29.13,453,1902,78,84,72,73
6.3,BR HZ,14,2007-08-09,6,71,0,0.46,27,3.1,29.82,2,29.19,453,1902,79,85,73,73
5.9,BR,13,2007-08-10,5,68,0,0.0,2,4.5,29.96,1,29.26,454,1900,78,86,70,72
5.4, ,15,2007-08-10,7,69,0,0.0,6,3.0,29.94,2,29.32,454,1900,80,86,73,72
3.9,BR HZ,13,2007-08-11,5,65,0,0.0,19,3.2,30.02,1,29.31,455,1859,78,89,67,70
3.9,BR HZ,13,2007-08-11,5,65,0,0.0,20,3.1,30.0,2,29.38,455,1859,78,88,68,70
5.4, ,13,2007-08-12,5,67,0,0.29,6,1.7,30.06,1,29.34,456,1858,78,88,67,71
6.6, ,13,2007-08-12,5,67,0,0.23,6,1.9,30.04,2,29.4,456,1858,78,87,68,70
6.9,BR,8,2007-08-13,0,57,0,0.0,6,6.2,30.11,1,29.39,457,1856,73,81,65,64
7.7, ,10,2007-08-13,2,54,0,0.0,8,6.9,30.08,2,29.44,457,1856,75,80,69,63
8.0,TS RA BR,10,2007-08-14,3,67,0,0.41,25,5.9,29.93,1,29.23,458,1855,75,84,65,70
9.0,RA BR,10,2007-08-14,3,66,0,0.45,23,6.4,29.92,2,29.29,458,1855,75,84,65,69
5.8,RA BR,11,2007-08-15,4,67,0,0.23,7,3.4,29.89,1,29.17,459,1854,76,80,71,70
7.1,TS RA BR,12,2007-08-15,5,69,0,0.83,6,4.9,29.87,2,29.23,459,1854,77,81,72,71
5.7,BR,6,2007-08-16,-1,64,0,0.0,1,3.6,29.97,1,29.28,500,1852,71,77,65,67
5.7,BR,7,2007-08-16,0,65,0,0.0,1,3.5,29.95,2,29.33,500,1852,72,77,67,68
6.8, ,5,2007-08-17,-2,54,0,0.0,32,5.9,30.1,1,29.41,501,1851,70,79,60,61
7.4, ,8,2007-08-17,1,54,0,0.0,31,6.1,30.08,2,29.46,501,1851,73,80,65,62
8.1,RA,0,2007-08-18,-8,54,1,0.09,12,6.4,30.16,1,29.44,502,1849,64,68,59,58
7.0,RA,0,2007-08-18,-7,54,0,0.42,13,6.1,30.15,2,29.48,502,1849,65,69,60,58
7.4,TS RA BR,0,2007-08-19,-6,62,0,1.33,10,6.0,29.99,1,29.24,503,1848,65,68,62,64
7.5,TS RA BR,1,2007-08-19,-5,63,0,1.33,10,5.5,29.98,2,29.3,503,1848,66,69,62,64
5.7,RA BR,8,2007-08-20,2,68,0,0.91,12,0.5,29.87,1,29.15,504,1846,73,78,68,69
5.9,TS RA BR HZ,7,2007-08-20,1,69,0,0.48,20,2.4,29.85,2,29.21,504,1846,72,76,68,70
6.0,BR HZ,13,2007-08-21,7,70,0,0.01,18,3.8,29.91,1,29.21,505,1845,78,87,69,72
6.0,BR,12,2007-08-21,6,70,0,0.01,17,3.5,29.89,2,29.26,505,1845,77,85,69,72
9.5,TS RA,15,2007-08-22,9,71,0,0.37,21,5.3,29.94,1,29.23,506,1843,80,90,69,73
8.4,RA BR,15,2007-08-22,9,70,0,0.88,21,5.1,29.93,2,29.29,506,1843,80,90,70,73
11.7,TS RA BR,13,2007-08-23,7,69,0,2.35,21,9.6,29.87,1,29.15,508,1842,78,87,69,71
9.1,TS BR,15,2007-08-23,9,69,0,1.96,21,6.7,29.86,2,29.21,508,1842,80,89,70,71
7.1,RA,10,2007-08-24,4,67,0,0.24,25,5.8,29.82,1,29.11,509,1840,75,80,69,69
7.3,TS RA BR,10,2007-08-24,4,67,0,0.2,25,5.5,29.81,2,29.16,509,1840,75,81,69,69
5.6,RA,7,2007-08-25,2,63,0,0.34,36,3.0,29.93,1,29.23,510,1839,72,79,64,66
6.4,RA BR,6,2007-08-25,1,63,0,0.25,3,2.4,29.91,2,29.29,510,1839,71,76,65,66
5.4, ,5,2007-08-26,0,55,0,0.0,11,3.6,30.08,1,29.38,511,1837,70,79,60,61
4.6, ,5,2007-08-26,0,55,0,0.0,11,3.7,30.07,2,29.44,511,1837,70,78,61,62
7.4, ,5,2007-08-27,0,60,0,0.0,17,6.5,30.07,1,29.36,512,1835,70,79,60,64
7.3, ,6,2007-08-27,1,59,0,0.0,16,6.4,30.06,2,29.41,512,1835,71,79,63,64
9.5, ,14,2007-08-28,9,66,0,0.0,20,9.0,29.99,1,29.28,513,1834,79,91,67,70
8.3, ,15,2007-08-28,10,65,0,0.0,21,7.8,29.98,2,29.34,513,1834,80,90,69,70
8.2, ,12,2007-08-29,7,65,0,0.01,3,5.6,30.04,1,29.34,514,1832,77,85,68,69
8.8, ,13,2007-08-29,8,64,0,0.01,3,5.3,30.02,2,29.39,514,1832,78,86,69,69
9.9, ,1,2007-08-30,-4,54,0,0.0,2,9.1,30.18,1,29.47,515,1831,66,75,57,60
10.9, ,3,2007-08-30,-2,54,0,0.0,3,10.8,30.15,2,29.51,515,1831,68,75,60,61
5.2, ,2,2007-08-31,-2,52,0,0.0,4,3.9,30.19,1,29.47,516,1829,67,77,57,59
4.6, ,2,2007-08-31,-2,54,0,0.0,6,3.0,30.17,2,29.52,516,1829,67,76,57,60
